Регион;Структура населения;Тип поселения;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;Оба пола;всё население;69,2;68,9;67,8;65;63,9;64,5;65,8;66,7;67,1;65,9;65,3;65,2;65;64,9;65,3;65,4;66,7;67,6;68;68,8;68,9;69,83;70,24;70,76;70,93;71,39;71,87;72,7
Центральный федеральный округ;Оба пола;всё население;69,5;69,2;68,3;65,6;64,2;64,9;66,5;67,4;67,6;66,4;66,1;65,8;65,6;65,7;66,3;66,5;67,6;68,4;68,8;69,7;69,9;71,19;71,43;71,93;72,1;72,72;73,07;73,89
Белгородская область;Оба пола;всё население;70,2;69,8;69,1;67,4;67,2;68;68,7;69;69,3;68,3;68,1;67,5;67,6;68;68,2;68,4;69,3;70,4;70,5;71,1;71,3;71,71;71,91;72,16;72,25;72,61;72,87;73,67
Брянская область;Оба пола;всё население;69,6;69,3;68,6;66,2;65,1;66,3;66,8;66,2;66,3;65,1;64,7;64,9;63,8;64,3;64,2;63,4;65,3;66,1;66,5;67,8;67,9;68,83;69,06;69,75;69,42;70,36;70,92;71,27
Владимирская область;Оба пола;всё население;69,5;69,3;68,1;65,8;64,4;64,9;66,1;66,5;66,6;64,3;63,4;63,1;62,2;62,7;63;63,5;64,7;65,6;65,8;66,6;67,1;68,08;68,6;69,13;69,25;69,82;70,28;71,15
Воронежская область;Оба пола;всё население;70,4;69,7;69,4;67,4;66,6;67,1;67,6;67,9;68,2;66,8;66,5;66,2;65,9;66,1;66,3;66,5;67,5;67,9;68,3;69,4;69,5;70,41;70,84;70,89;70,82;71,67;72,08;73,03
Ивановская область;Оба пола;всё население;68,8;68,1;66,7;65;63,5;64,1;64,8;65,4;65,8;63,3;62,6;62,8;61,9;62,2;62,4;62,2;64,6;65,6;66;66,8;67,1;68,56;69,3;69,84;69,88;70,62;70,77;71,47
Калужская область;Оба пола;всё население;68,9;69,3;68,2;65,9;64;64,8;66,1;66,6;66,4;65;64,3;64,3;64,1;64,3;64,5;64,4;66,2;66,8;67;67,8;68,1;69,49;69,39;70,02;69,93;70,73;71,18;71,87
Костромская область;Оба пола;всё население;68,7;68,2;67,2;65,2;63,7;64,4;65,1;65,9;65,9;64,7;64;63,2;62,7;62,1;62,6;62,6;64,5;66,1;66,2;67;67,5;68,45;69,5;69,86;70,05;70,38;70,87;71,81
Курская область;Оба пола;всё население;69;68,3;68,1;66,3;64,9;66;66;66,8;66,9;65,7;65,3;65,5;64,9;65;65;65;66,1;66,7;66,9;68,1;68,5;69,27;69,66;70,14;70,11;70,8;70,94;71,74
